date;code_insee_region;region;tmin;tmax;tmoy
05/02/2016;53;Bretagne;9.25;11.3;10.28
05/02/2016;24;Centre-Val de Loire;7.7;10.2;8.95
06/02/2016;28;Normandie;7.76;12.1;9.93
06/02/2016;32;Hauts-de-France;7.78;12.24;10.01
07/02/2016;28;Normandie;4.28;10.96;7.62
07/02/2016;24;Centre-Val de Loire;6.05;11.22;8.63
08/02/2016;76;Occitanie;4.76;17.28;11.02
08/02/2016;44;Grand Est;3.74;11.37;7.56
09/02/2016;84;Auvergne-RhÃ´ne-Alpes;6.78;11.25;9.01
10/02/2016;53;Bretagne;1.6;8.77;5.19
10/02/2016;94;Corse;11.35;14.15;12.75
11/02/2016;11;ÃŽle-de-France;2.42;8.64;5.53
11/02/2016;32;Hauts-de-France;1.96;7.36;4.66
11/02/2016;24;Centre-Val de Loire;-1.38;6.42;2.52
11/02/2016;93;Provence-Alpes-CÃ´te d'Azur;0.6;10.4;5.5
12/02/2016;28;Normandie;1.18;5.42;3.3
12/02/2016;75;Nouvelle-Aquitaine;6.27;13.13;9.7
12/02/2016;44;Grand Est;-0.23;5.4;2.59
12/02/2016;27;Bourgogne-Franche-ComtÃ©;0.15;7.18;3.67
13/02/2016;44;Grand Est;1.3;8.33;4.81
14/02/2016;44;Grand Est;4.0;6.86;5.43
14/02/2016;75;Nouvelle-Aquitaine;5.47;10.09;7.78
14/02/2016;84;Auvergne-RhÃ´ne-Alpes;4.09;9.68;6.89
14/02/2016;24;Centre-Val de Loire;5.4;9.4;7.4
14/02/2016;94;Corse;9.25;17.55;13.4
15/02/2016;44;Grand Est;1.29;3.61;2.45
15/02/2016;24;Centre-Val de Loire;0.55;6.55;3.55
16/02/2016;32;Hauts-de-France;-1.94;6.0;2.03
16/02/2016;76;Occitanie;1.66;6.57;4.12
17/02/2016;52;Pays de la Loire;-4.75;5.65;0.45
17/02/2016;27;Bourgogne-Franche-ComtÃ©;-0.22;2.72;1.25
17/02/2016;75;Nouvelle-Aquitaine;-4.46;7.69;1.62
18/02/2016;94;Corse;4.7;14.95;9.82
19/02/2016;53;Bretagne;-0.1;10.82;5.36
20/02/2016;11;ÃŽle-de-France;4.9;12.2;8.55
20/02/2016;84;Auvergne-RhÃ´ne-Alpes;-1.8;11.06;4.63
20/02/2016;27;Bourgogne-Franche-ComtÃ©;1.15;10.57;5.86
20/02/2016;32;Hauts-de-France;4.92;11.38;8.15
20/02/2016;24;Centre-Val de Loire;4.28;11.43;7.86
20/02/2016;28;Normandie;6.4;11.88;9.14
21/02/2016;93;Provence-Alpes-CÃ´te d'Azur;3.47;19.05;11.26
22/02/2016;93;Provence-Alpes-CÃ´te d'Azur;7.0;12.7;9.85
22/02/2016;76;Occitanie;5.33;12.27;8.8
23/02/2016;32;Hauts-de-France;3.56;8.52;6.04
23/02/2016;27;Bourgogne-Franche-ComtÃ©;3.88;9.62;6.75
23/02/2016;53;Bretagne;5.65;9.85;7.75
23/02/2016;76;Occitanie;7.28;13.9;10.59
24/02/2016;24;Centre-Val de Loire;2.3;7.75;5.03
24/02/2016;44;Grand Est;-1.69;6.21;2.26
25/02/2016;93;Provence-Alpes-CÃ´te d'Azur;5.67;14.88;10.28
25/02/2016;75;Nouvelle-Aquitaine;5.76;10.7;8.23
26/02/2016;28;Normandie;0.36;7.56;3.96
26/02/2016;76;Occitanie;2.46;10.55;6.5
27/02/2016;93;Provence-Alpes-CÃ´te d'Azur;6.08;11.3;8.69
27/02/2016;28;Normandie;0.58;6.4;3.49
